Prediction,Accuracy,Error,Reliability,Relevance,Privacy,Volitionality,Causes Outcome,Causes Cycle,Causes Disparity,Caused by Group
Cross Train Loan,0.80195671509,NA,-0.0487305883635,1.1067913847,-0.00594488015605,,0.245307137082,-0.134055661348,-0.371997400453,0.109967593198
Cross Train Loan,0.803142603024,NA,-0.0564061383347,1.22406832637,-0.015005997725,0.0647745630358,,-0.112673401926,-0.345520991166,0.110596308184
Cross Train Loan,0.803439075007,NA,-0.0302533023177,1.09700805797,-0.0200144704679,0.01366208641,0.228231491265,,-0.421182663743,0.0892448753214
Cross Train Loan,0.804921434924,NA,-0.0442787204844,1.10968504393,-0.033368432763,0.0543751710746,0.222247915947,-0.232150852185,,-0.108742722061
Cross Train Loan,0.803142603024,NA,-0.0450231417624,1.09973564431,-0.0116844343236,0.02668117712,0.242469081634,-0.124231240623,-0.294168403629,
Cross Train Loan,0.67625259413,NA,0.42411830832,,,,,,,
Cross Train Loan,0.802549659057,NA,,1.2198105217,,,,,,
Cross Train Loan,0.596798102579,NA,,,-0.00823913185084,,,,,
Cross Train Loan,0.560924992588,NA,,,,0.300492024247,,,,
Cross Train Loan,0.669137266528,NA,,,,,0.649805908262,,,
Cross Train Loan,0.596798102579,NA,,,,,,-0.223294561574,,
Cross Train Loan,0.632967684554,NA,,,,,,,-0.389806096453,
Cross Train Loan,0.596798102579,NA,,,,,,,,-0.211761595798
Cross Train Ins,0.801524562394,NA,0.168069784975,0.887018167765,-0.0763187494602,0.0297309653453,0.239073824836,-0.175782232139,-0.0897171338655,-0.0357652677644
Cross Train Ins,0.797571993224,NA,,0.937990713696,-0.112573475485,0.0415896354054,0.244049198333,-0.188837705542,-0.0705698603086,-0.0385037477097
Cross Train Ins,0.699604743083,NA,0.366126805981,,-0.102606506381,0.00767406794383,0.731536552492,-0.194590959017,-0.205137436319,0.0203421667224
Cross Train Ins,0.800677583286,NA,0.19456911761,0.887562379293,,0.0260663515074,0.231073245606,-0.192811415297,-0.0893011186023,-0.0451931741211
Cross Train Ins,0.800677583286,NA,0.172534696515,0.886635585465,-0.0743081792803,,0.23454812398,-0.169131781894,-0.101049817359,-0.0300841392073
Cross Train Ins,0.797289666855,NA,0.172465923755,1.02287329733,-0.0607759919201,0.0140913533063,,-0.137588730109,-0.0693238546492,-0.0394952104999
Cross Train Ins,0.805194805195,NA,0.183721350169,0.888960167447,-0.104249842202,0.00893835341812,0.204678171041,,-0.138140311221,-0.0620779757543
Cross Train Ins,0.795878035008,NA,0.160996132406,0.892131162225,-0.0759129084386,0.0404883686915,0.232021254448,-0.192257770084,,-0.091417454674
Cross Train Ins,0.801524562394,NA,0.168559214432,0.886747431908,-0.078660174,0.0271319480539,0.239657371259,-0.179679132585,-0.114469281453,
Cross Train Ins,0.632411067194,NA,0.475266392694,,,,,,,
Cross Train Ins,0.816205533597,NA,,1.05396509771,,,,,,
Cross Train Ins,0.485319028797,NA,,,-0.19525216524,,,,,
Cross Train Ins,0.357707509881,NA,,,,-0.0203406839997,,,,
Cross Train Ins,0.667701863354,NA,,,,,0.650701034874,,,
Cross Train Ins,0.466403162055,NA,,,,,,-0.129799302081,,
Cross Train Ins,0.423207227555,NA,,,,,,,-0.10815462184,
Cross Train Ins,0.357707509881,NA,,,,,,,,-0.0756932555727
